iter	MultiClass
0	1.33565557
1	1.291799503
2	1.2547732
3	1.220848924
4	1.190807649
5	1.162636783
6	1.137114182
7	1.113315254
8	1.092284851
9	1.072653582
10	1.054491922
11	1.038134565
12	1.023126982
13	1.008935716
14	0.9967265498
15	0.9833687517
16	0.97162694
17	0.9611105133
18	0.9515334676
19	0.9421047094
20	0.9331149472
21	0.9251035975
22	0.9171057288
23	0.9098566786
24	0.9028922746
25	0.8955888301
26	0.8884518741
27	0.882867002
28	0.8772165827
29	0.8714763873
30	0.8663436389
31	0.861052571
32	0.8557309604
33	0.8509775606
34	0.8463388872
35	0.8422496799
36	0.8388559681
37	0.8325652324
38	0.8282699175
39	0.8229787931
40	0.8176326721
41	0.8132945403
42	0.8089401796
43	0.8042635116
44	0.8006166123
45	0.7966248337
46	0.7942488682
47	0.790911114
48	0.788463789
49	0.7851146314
50	0.7823254399
51	0.7798115803
52	0.7775570846
53	0.7749471614
54	0.7722323988
55	0.7693656644
56	0.766712823
57	0.7640663242
58	0.7617080233
59	0.759707091
60	0.7572395582
61	0.7552133799
62	0.7535133984
63	0.7518088526
64	0.7498574358
65	0.7479971994
66	0.7464281295
67	0.7449638955
68	0.7431958763
69	0.7417224567
70	0.7401737404
71	0.7389269596
72	0.7376983982
73	0.7358243763
74	0.7340644003
75	0.7330050354
76	0.7323127412
77	0.7308605358
78	0.729680341
79	0.7281442075
80	0.7273002412
81	0.7258174448
82	0.7243245779
83	0.7236303761
84	0.7219534641
85	0.720649733
86	0.7197035493
87	0.7190261721
88	0.7174961239
89	0.7161813525
90	0.7154647502
91	0.7148671245
92	0.714141784
93	0.7136718562
94	0.7127355959
95	0.7121486767
96	0.7109832311
97	0.7099709231
98	0.7091804635
99	0.7082454364
100	0.7075404032
101	0.707052699
102	0.7062468244
103	0.7054190114
104	0.7049379915
105	0.7043286771
106	0.703828549
107	0.7028902385
108	0.701971232
109	0.7013977744
110	0.7003610093
111	0.699967957
112	0.6995701647
113	0.6990026117
114	0.6985372007
115	0.6979077133
116	0.6975944384
117	0.6971405216
118	0.6961297282
119	0.6956309883
120	0.6951205823
121	0.6942302038
122	0.6935800823
123	0.6929372362
124	0.6924920824
125	0.6921790738
126	0.6916404356
127	0.6908774215
128	0.6902362492
129	0.6895233347
130	0.6892666773
131	0.6890258775
132	0.6887261341
133	0.6883436794
134	0.6879620212
135	0.6875638149
136	0.6870515762
137	0.6866053504
138	0.686561643
139	0.6861709911
140	0.6858221143
141	0.6851681985
142	0.6848372063
143	0.6842786661
144	0.6840765447
145	0.6837114533
146	0.6832183409
147	0.6827756606
148	0.6822167387
149	0.6818488878
150	0.6813657883
151	0.6810895242
152	0.6806082121
153	0.6802479462
154	0.6798666127
155	0.6791986962
156	0.6787592083
157	0.6783358327
158	0.6781604198
159	0.6777644929
160	0.6772389022
161	0.6768402062
162	0.6765564956
163	0.6763561873
164	0.6761149944
165	0.6758764698
166	0.6753030785
167	0.6748876166
168	0.6744732338
169	0.6742973516
170	0.6739214172
171	0.673631661
172	0.6733032794
173	0.6730284771
174	0.6726636933
175	0.6723826993
176	0.6720341158
177	0.6717107448
178	0.6714874556
179	0.6712457961
180	0.6708260785
181	0.6707021564
182	0.670418862
183	0.6700994335
184	0.6698756366
185	0.6693179157
186	0.6689258042
187	0.6686497211
188	0.6683567575
189	0.6681834579
190	0.6680653846
191	0.6677862451
192	0.6674652487
193	0.667065745
194	0.6666807817
195	0.6664596156
196	0.665944687
197	0.6657557034
198	0.6655700331
199	0.6651361723
200	0.6649637324
201	0.6646340173
202	0.6643858167
203	0.664230036
204	0.6638765837
205	0.663694944
206	0.6634937917
207	0.6632808762
208	0.6630901045
209	0.6629801407
210	0.6626138046
211	0.6622737026
212	0.6620920015
213	0.6618095406
214	0.6613875061
215	0.6610758623
216	0.660860817
217	0.6606706272
218	0.6603731591
219	0.6601901026
220	0.6601091378
221	0.6600182168
222	0.6597793011
223	0.6593831097
224	0.6589603281
225	0.6586815202
226	0.6583515137
227	0.6580670641
228	0.6576321369
229	0.6572997158
230	0.6569131271
231	0.656662697
232	0.6564421009
233	0.656104811
234	0.6558056735
235	0.655542048
236	0.6553655909
237	0.6550956635
238	0.6547897886
239	0.65432195
240	0.6537961889
241	0.6535786087
242	0.6533819933
243	0.6529705916
244	0.6525494049
245	0.6523297803
246	0.6520257974
247	0.651797856
248	0.651361499
249	0.6511137206
250	0.6509549005
251	0.6507730143
252	0.6505305559
253	0.6504397726
254	0.6502655105
255	0.6497569223
256	0.6494563327
257	0.6493450847
258	0.6491231177
259	0.6487505674
260	0.6486524138
261	0.6484808977
262	0.6482099538
263	0.6479359843
264	0.6476286352
265	0.6474205324
266	0.6472012686
267	0.6470045127
268	0.6467866981
269	0.6465885532
270	0.646403374
271	0.646042289
272	0.6458509289
273	0.6457467154
274	0.6455845964
275	0.6454540478
276	0.6453664971
277	0.6451277625
278	0.6449831467
279	0.6448991578
280	0.6446413297
281	0.6443121878
282	0.6441248816
283	0.6439449725
284	0.6436246782
285	0.6434969055
286	0.6432613328
287	0.6430653091
288	0.6428671007
289	0.6427187282
290	0.642545656
291	0.6423261842
292	0.6421341991
293	0.6419684128
294	0.6418222376
295	0.6417315297
296	0.6414768299
297	0.6413812135
298	0.6412304908
299	0.6409746984
300	0.6408335751
301	0.6405891763
302	0.6404967629
303	0.6402558164
304	0.6400577361
305	0.639817847
306	0.6394933145
307	0.6393545457
308	0.6391796696
309	0.6391773171
310	0.6389390987
311	0.6387837346
312	0.6387039673
313	0.6385305168
314	0.6383094946
315	0.6380171867
316	0.6377959956
317	0.637649977
318	0.637446327
319	0.6372860366
320	0.637183828
321	0.6369913222
322	0.6368606724
323	0.6367121736
324	0.6365907204
325	0.6364278306
326	0.6361741112
327	0.6360665284
328	0.6359534
329	0.635626165
330	0.6354989548
331	0.6351422719
332	0.6350605294
333	0.634898996
334	0.6348081399
335	0.6346789517
336	0.6345257883
337	0.6344213206
338	0.6343304469
339	0.6341959107
340	0.6339311905
341	0.633761199
342	0.6336728808
343	0.633346268
344	0.6331091102
345	0.6330016831
346	0.632884424
347	0.6325991653
348	0.632531143
349	0.6321332214
350	0.6320275104
351	0.6318590149
352	0.6317175373
353	0.6317102327
354	0.6317006895
355	0.6313847319
356	0.63121396
357	0.6310991675
358	0.630992694
359	0.6309054886
360	0.6306319383
361	0.6304910388
362	0.6303419631
363	0.6300771025
364	0.6299392343
365	0.6297809605
366	0.6296550737
367	0.6294188873
368	0.6292989741
369	0.629223947
370	0.629079465
371	0.6289142186
372	0.6287958962
373	0.6286621191
374	0.6284929912
375	0.6283564045
376	0.6283302598
377	0.6282519045
378	0.6281114493
379	0.6280067377
380	0.6278678804
381	0.6277376867
382	0.6276291497
383	0.6274324281
384	0.6272901136
385	0.6271876105
386	0.6269577628
387	0.6268106665
388	0.6266976085
389	0.6265444604
390	0.6264114294
391	0.6263226098
392	0.6261322394
393	0.6260014838
394	0.6258435464
395	0.6257890305
396	0.6255964434
397	0.6254459465
398	0.6252351842
399	0.6250687463
400	0.6249861458
401	0.6247940859
402	0.6244807289
403	0.6243214929
404	0.6241543942
405	0.6240417008
406	0.6239299539
407	0.6238728393
408	0.6236357401
409	0.6234875641
410	0.6233829677
411	0.6233204578
412	0.6232528158
413	0.6229916525
414	0.6228461522
415	0.6226632445
416	0.6224818191
417	0.6224036124
418	0.6223321002
419	0.6221197111
420	0.6220691587
421	0.621978874
422	0.6219436003
423	0.6218048318
424	0.6217242972
425	0.6216064019
426	0.6214395607
427	0.6213300411
428	0.6212066438
429	0.6210550184
430	0.6209690138
431	0.6209167724
432	0.6207327333
433	0.6206052515
434	0.6205384236
435	0.620293628
436	0.6201054008
437	0.6199166423
438	0.6198314244
439	0.6197050739
440	0.6195344629
441	0.6193945583
442	0.6192159508
443	0.619078665
444	0.6189016663
445	0.6187449999
446	0.6186434593
447	0.6184582211
448	0.6183738485
449	0.6182818928
450	0.6181378111
451	0.6180305383
452	0.6179048784
453	0.6177378368
454	0.6176807889
455	0.617574332
456	0.6173666312
457	0.6172328854
458	0.617045295
459	0.616940725
460	0.616782855
461	0.6166142589
462	0.6164445885
463	0.6163184085
464	0.6162587047
465	0.616134724
466	0.6160661766
467	0.6158618283
468	0.6157843151
469	0.6157808574
470	0.6156652645
471	0.6155699399
472	0.615433844
473	0.6153867312
474	0.615282438
475	0.6152390167
476	0.6151536229
477	0.6150620366
478	0.6149555556
479	0.6148131601
480	0.6147392794
481	0.6146461737
482	0.6145910383
483	0.6145139475
484	0.6144292539
485	0.6142567173
486	0.614109054
487	0.6140313163
488	0.6138908931
489	0.6137907508
490	0.6136804491
491	0.6136684198
492	0.6133912625
493	0.613290875
494	0.613147999
495	0.6130309237
496	0.6129387274
497	0.6127994616
498	0.6126260695
499	0.6124298464
500	0.6123414005
501	0.6122794589
502	0.6121761311
503	0.6120312776
504	0.6118135748
505	0.6117569555
506	0.6116528944
507	0.6116136841
508	0.6114822075
509	0.6113756163
510	0.6112302454
511	0.6111423473
512	0.6110325783
513	0.6109490464
514	0.6109015661
515	0.6107690832
516	0.6106459742
517	0.6105663786
518	0.6105184297
519	0.6104475197
520	0.6103171542
521	0.6101630617
522	0.610074115
523	0.6099604862
524	0.6098946432
