iter	Passed	Remaining
0	299	209066
1	431	150625
2	554	128900
3	693	120629
4	820	114063
5	946	109516
6	1092	108165
7	1229	106329
8	1363	104668
9	1487	102637
10	1626	101849
11	1756	100723
12	1891	99946
13	2016	98788
14	2135	97510
15	2257	96518
16	2382	95739
17	2504	94886
18	2616	93794
19	2744	93312
20	2887	93349
21	3035	93538
22	3159	93007
23	3288	92616
24	3409	92059
25	3534	91627
26	3665	91372
27	3791	90993
28	3923	90786
29	4077	91063
30	4217	91010
31	4337	90545
32	4457	90087
33	4574	89609
34	4699	89292
35	4817	88860
36	4936	88461
37	5085	88600
38	5217	88421
39	5348	88254
40	5468	87902
41	5592	87615
42	5718	87366
43	5829	86906
44	5950	86610
45	6055	86093
46	6188	85980
47	6311	85732
48	6429	85418
49	6534	84954
50	6631	84394
51	6741	84008
52	6836	83455
53	6955	83211
54	7068	82893
55	7211	82933
56	7353	82954
57	7467	82653
58	7577	82325
59	7714	82283
60	7835	82084
61	7958	81900
62	8057	81473
63	8173	81224
64	8281	80903
65	8400	80699
66	8518	80480
67	8622	80133
68	8733	79865
69	8863	79772
70	8974	79510
71	9107	79440
72	9213	79138
73	9347	79078
74	9476	78972
75	9593	78766
76	9698	78471
77	9823	78336
78	9912	77919
79	10010	77582
80	10113	77290
81	10230	77103
82	10348	76930
83	10464	76741
84	10605	76737
85	10720	76536
86	10819	76235
87	10936	76057
88	11031	75734
89	11126	75415
90	11234	75182
91	11338	74933
92	11451	74745
93	11578	74644
94	11716	74613
95	11824	74398
96	11928	74152
97	12047	74008
98	12167	73867
99	12279	73676
100	12393	73502
101	12512	73357
102	12649	73318
103	12762	73139
104	12901	73107
105	13046	73110
106	13170	72990
107	13327	73052
108	13453	72943
109	13593	72911
110	13724	72825
111	13867	72802
112	13999	72721
113	14132	72648
114	14263	72558
115	14383	72412
116	14486	72184
117	14590	71962
118	14710	71823
119	14822	71642
120	14935	71466
121	15081	71452
122	15194	71276
123	15328	71203
124	15440	71024
125	15552	70848
126	15665	70680
127	15773	70486
128	15893	70350
129	16016	70226
130	16178	70272
131	16294	70116
132	16406	69944
133	16532	69833
134	16655	69706
135	16777	69578
136	16904	69470
137	17017	69302
138	17058	68848
139	17193	68774
140	17327	68693
141	17481	68694
142	17611	68599
143	17750	68534
144	17875	68419
145	18017	68367
146	18160	68319
147	18280	68181
148	18443	68205
149	18550	68018
150	18688	67946
151	18805	67797
152	18928	67672
153	19045	67525
154	19165	67386
155	19298	67297
156	19451	67276
157	19563	67109
158	19685	66979
159	19800	66827
160	19923	66699
161	20024	66499
162	20138	66345
163	20236	66138
164	20351	65986
165	20498	65941
166	20643	65887
167	20765	65757
168	20872	65581
169	20973	65388
170	21081	65215
171	21188	65044
172	21320	64947
173	21432	64788
174	21531	64595
175	21695	64594
176	21816	64462
177	21913	64262
178	22002	64041
179	22107	63864
180	22212	63692
181	22321	63529
182	22421	63343
183	22538	63204
184	22650	63054
185	22786	62969
186	22890	62795
187	23012	62671
188	23130	62537
189	23231	62359
190	23348	62221
191	23462	62078
192	23575	61931
193	23701	61819
194	23841	61744
195	23979	61662
196	24120	61586
197	24232	61437
198	24339	61275
199	24445	61114
200	24564	60983
201	24680	60845
202	24830	60791
203	24975	60725
204	25099	60605
205	25223	60488
206	25363	60406
207	25501	60320
208	25651	60262
209	25773	60138
210	25935	60106
211	26102	60085
212	26243	60002
213	26382	59915
214	26518	59820
215	26666	59752
216	26805	59663
217	26943	59572
218	27068	59451
219	27225	59402
220	27333	59243
221	27449	59102
222	27586	59008
223	27716	58897
224	27844	58783
225	27968	58659
226	28105	58563
227	28251	58485
228	28403	58419
229	28519	58278
230	28639	58146
231	28758	58011
232	28873	57870
233	28995	57743
234	29111	57604
235	29234	57478
236	29380	57396
237	29511	57286
238	29653	57197
239	29789	57096
240	29922	56989
241	30068	56906
242	30217	56828
243	30355	56730
244	30536	56710
245	30685	56631
246	30827	56538
247	30968	56443
248	31114	56355
249	31262	56271
250	31393	56157
251	31526	56046
252	31705	56017
253	31834	55898
254	31987	55820
255	32143	55748
256	32293	55665
257	32416	55534
258	32560	55441
259	32741	55409
260	32878	55301
261	33025	55209
262	33173	55121
263	33310	55012
264	33445	54901
265	33617	54849
266	33775	54774
267	33928	54690
268	34068	54585
269	34210	54483
270	34358	54390
271	34508	54299
272	34657	54207
273	34787	54084
274	34921	53969
275	35100	53922
276	35246	53823
277	35380	53706
278	35514	53589
279	35644	53466
280	35777	53347
281	35912	53232
282	36055	53128
283	36207	53035
284	36358	52943
285	36488	52818
286	36619	52695
287	36749	52572
288	36879	52447
289	37019	52338
290	37184	52262
291	37321	52148
292	37447	52017
293	37559	51868
294	37680	51730
295	37808	51603
296	37927	51464
297	38057	51338
298	38184	51210
299	38381	51175
300	38523	51065
301	38684	50981
302	38818	50861
303	38945	50731
304	39084	50617
305	39227	50508
306	39395	50431
307	39570	50362
308	39767	50320
309	39912	50212
310	40052	50097
311	40211	50006
312	40360	49902
313	40505	49793
314	40655	49690
315	40818	49602
316	40956	49483
317	41104	49376
318	41240	49256
319	41369	49126
320	41493	48990
321	41655	48900
322	41793	48780
323	41922	48650
324	42039	48506
325	42162	48370
326	42305	48257
327	42502	48203
328	42627	48069
329	42788	47975
330	42909	47836
331	43040	47707
332	43161	47567
333	43299	47447
334	43428	47318
335	43554	47184
336	43691	47061
337	43832	46944
338	43987	46842
339	44125	46720
340	44269	46606
341	44393	46470
342	44530	46348
343	44678	46236
344	44821	46120
345	44967	46006
346	45103	45883
347	45251	45771
348	45370	45630
349	45514	45514
350	45658	45398
351	45804	45283
352	45936	45155
353	46075	45034
354	46213	44912
355	46358	44795
356	46495	44672
357	46629	44545
358	46760	44416
359	46903	44298
360	47045	44178
361	47216	44085
362	47363	43971
363	47491	43838
364	47614	43700
365	47723	43550
366	47850	43417
367	47969	43276
368	48108	43154
369	48231	43017
370	48379	42902
371	48498	42761
372	48624	42627
373	48753	42496
374	48888	42370
375	49022	42242
376	49116	42081
377	49238	41944
378	49384	41826
379	49528	41708
380	49649	41570
381	49766	41428
382	49885	41288
383	50026	41167
384	50150	41032
385	50260	40885
386	50370	40739
387	50520	40624
388	50660	40502
389	50779	40363
390	50898	40224
391	51013	40082
392	51130	39941
393	51258	39809
394	51383	39675
395	51508	39541
396	51691	39452
397	51829	39328
398	51959	39197
399	52095	39071
400	52222	38939
401	52358	38812
402	52486	38680
403	52620	38553
404	52776	38441
405	52935	38332
406	53078	38211
407	53215	38085
408	53357	37963
409	53503	37844
410	53639	37717
411	53760	37580
412	53919	37469
413	54060	37345
414	54191	37216
415	54318	37083
416	54436	36943
417	54567	36813
418	54684	36673
419	54805	36537
420	54937	36407
421	55082	36286
422	55209	36154
423	55349	36029
424	55481	35899
425	55605	35764
426	55737	35635
427	55863	35502
428	55973	35358
429	56110	35232
430	56241	35101
431	56363	34966
432	56496	34837
433	56612	34698
434	56722	34554
435	56840	34417
436	56971	34287
437	57092	34151
438	57247	34035
439	57375	33903
440	57492	33765
441	57619	33632
442	57754	33505
443	57896	33381
444	58038	33257
445	58176	33131
446	58330	33014
447	58474	32891
448	58612	32765
449	58728	32627
450	58844	32488
451	58967	32354
452	59091	32219
453	59217	32087
454	59343	31954
455	59492	31833
456	59620	31701
457	59742	31567
458	59871	31435
459	59997	31303
460	60138	31178
461	60263	31044
462	60395	30914
463	60545	30794
464	60682	30667
465	60807	30534
466	60929	30399
467	61058	30268
468	61167	30127
469	61280	29988
470	61395	29850
471	61544	29729
472	61683	29603
473	61817	29474
474	61941	29340
475	62053	29201
476	62178	29068
477	62295	28932
478	62411	28795
479	62548	28667
480	62682	28539
481	62841	28421
482	62951	28282
483	63063	28144
484	63188	28011
485	63325	27884
486	63455	27753
487	63595	27627
488	63716	27493
489	63858	27367
490	64000	27242
491	64108	27102
492	64250	26977
493	64384	26848
494	64520	26720
495	64658	26593
496	64781	26460
497	64914	26330
498	65088	26218
499	65228	26091
500	65358	25960
501	65495	25832
502	65611	25696
503	65746	25567
504	65893	25444
505	66070	25331
506	66226	25210
507	66346	25075
508	66498	24953
509	66643	24828
510	66787	24702
511	66933	24576
512	67071	24448
513	67226	24327
514	67350	24193
515	67493	24067
516	67629	23938
517	67779	23814
518	67921	23687
519	68054	23557
520	68186	23426
521	68335	23302
522	68470	23172
523	68605	23043
524	68728	22909
525	68844	22773
526	68963	22638
527	69094	22508
528	69226	22377
529	69353	22245
530	69507	22121
531	69629	21988
532	69763	21858
533	69889	21726
534	70005	21590
535	70143	21461
536	70274	21330
537	70377	21191
538	70524	21065
539	70673	20940
540	70791	20805
