project_id,snapshot_date,project_age_days,total_tasks,completed_tasks,pending_tasks,completion_percentage,transition_count,reassignment_count,reopen_count,updated_by_count,assignee_count,critical_task_count,high_priority_task_count,bug_count,story_count,future_completed_30d,future_delayed_30d,future_delayed_rate,dynamic_risk_level
10000,2007-08-26 08:07:54+00:00,0.0,1,0.0,1.0,0.0,1,1,0,4,2,0,1,0,0,12.0,0.0,0.0,Low
10000,2007-09-02 08:07:54+00:00,7.0,38,5.0,33.0,13.157894736842104,63,46,2,184,63,4,28,0,0,15.0,0.0,0.0,Low
10000,2007-09-09 08:07:54+00:00,14.0,54,8.0,46.0,14.814814814814813,88,55,3,258,84,6,42,0,0,17.0,0.0,0.0,Low
10000,2007-09-16 08:07:54+00:00,21.0,63,8.0,55.0,12.698412698412698,97,55,3,294,93,6,51,0,0,27.0,0.0,0.0,Low
10000,2007-09-23 08:07:54+00:00,28.0,69,11.0,58.0,15.942028985507244,108,57,4,322,99,6,54,0,0,26.0,0.0,0.0,Low
10000,2007-09-30 08:07:54+00:00,35.0,86,17.0,69.0,19.767441860465116,140,72,4,407,123,12,63,0,0,23.0,0.0,0.0,Low
10000,2007-10-07 08:07:54+00:00,42.0,93,25.0,68.0,26.881720430107524,152,78,4,441,133,12,68,0,0,15.0,0.0,0.0,Low
10000,2007-10-14 08:07:54+00:00,49.0,98,34.0,64.0,34.69387755102041,159,80,4,463,139,12,70,0,0,6.0,0.0,0.0,Low
10000,2007-10-21 08:07:54+00:00,56.0,101,36.0,65.0,35.64356435643564,164,80,4,477,142,12,73,0,0,4.0,0.0,0.0,Low
10000,2008-03-02 08:07:54+00:00,189.0,308,40.0,268.0,12.987012987012985,479,196,10,1503,411,23,219,0,0,3.0,0.0,0.0,Low
10000,2008-03-09 08:07:54+00:00,196.0,310,40.0,270.0,12.903225806451612,481,196,10,1512,413,23,220,0,0,18.0,2.0,0.1111111111111111,Medium
10000,2008-03-16 08:07:54+00:00,203.0,319,40.0,279.0,12.539184952978054,490,197,10,1553,422,24,227,0,0,22.0,2.0,0.09090909090909091,Medium
10000,2008-03-23 08:07:54+00:00,210.0,327,40.0,287.0,12.232415902140673,501,201,10,1593,432,24,231,0,0,30.0,3.0,0.1,Medium
10000,2008-03-30 08:07:54+00:00,217.0,333,40.0,293.0,12.012012012012011,507,207,10,1622,441,25,234,0,0,33.0,4.0,0.12121212121212122,Medium
10000,2008-04-06 08:07:54+00:00,224.0,336,58.0,278.0,17.261904761904763,511,207,10,1637,444,25,235,0,0,17.0,2.0,0.11764705882352941,Medium
10000,2008-04-13 08:07:54+00:00,231.0,340,59.0,281.0,17.352941176470587,516,207,10,1655,448,25,237,0,0,16.0,2.0,0.125,Medium
10000,2008-04-20 08:07:54+00:00,238.0,349,69.0,280.0,19.770773638968482,532,208,10,1699,457,25,244,0,0,6.0,1.0,0.16666666666666666,High
10000,2008-04-27 08:07:54+00:00,245.0,351,71.0,280.0,20.22792022792023,534,208,10,1710,459,25,245,0,0,7.0,0.0,0.0,Low
10000,2008-05-04 08:07:54+00:00,252.0,354,73.0,281.0,20.62146892655367,540,210,10,1727,463,25,248,0,0,8.0,0.0,0.0,Low
10000,2008-05-11 08:07:54+00:00,259.0,360,75.0,285.0,20.833333333333336,562,228,10,1761,477,26,253,0,0,7.0,0.0,0.0,Low
10000,2008-05-18 08:07:54+00:00,266.0,360,75.0,285.0,20.833333333333336,562,228,10,1761,477,26,253,0,0,7.0,0.0,0.0,Low
10000,2008-05-25 08:07:54+00:00,273.0,360,78.0,282.0,21.666666666666668,562,228,10,1761,477,26,253,0,0,4.0,0.0,0.0,Low
10000,2008-06-01 08:07:54+00:00,280.0,366,79.0,287.0,21.584699453551913,572,230,10,1790,484,27,255,0,0,6.0,2.0,0.3333333333333333,High
10000,2008-06-08 08:07:54+00:00,287.0,369,82.0,287.0,22.22222222222222,575,230,10,1803,487,27,256,0,0,24.0,21.0,0.875,Critical
10000,2008-06-15 08:07:54+00:00,294.0,370,82.0,288.0,22.162162162162165,577,231,10,1809,488,27,257,0,0,50.0,43.0,0.86,Critical
10000,2008-06-22 08:07:54+00:00,301.0,371,82.0,289.0,22.10242587601078,578,231,10,1813,489,27,257,0,0,61.0,48.0,0.7868852459016393,Critical
10000,2008-06-29 08:07:54+00:00,308.0,372,83.0,289.0,22.311827956989248,580,231,10,1818,490,28,257,0,0,64.0,50.0,0.78125,Critical
10000,2008-07-06 08:07:54+00:00,315.0,373,102.0,271.0,27.34584450402145,584,233,11,1824,492,28,258,0,0,47.0,34.0,0.723404255319149,Critical
10000,2008-07-13 08:07:54+00:00,322.0,374,130.0,244.0,34.75935828877005,585,233,11,1829,493,28,259,0,0,21.0,10.0,0.47619047619047616,Critical
10000,2008-07-20 08:07:54+00:00,329.0,388,140.0,248.0,36.08247422680412,641,270,12,1911,522,29,264,0,0,11.0,4.0,0.36363636363636365,Critical
10000,2008-07-27 08:07:54+00:00,336.0,393,147.0,246.0,37.404580152671755,648,271,12,1934,528,29,269,0,0,8.0,1.0,0.125,Medium
10000,2008-08-03 08:07:54+00:00,343.0,396,148.0,248.0,37.37373737373738,654,278,12,1951,535,29,271,0,0,8.0,1.0,0.125,Medium
10000,2008-08-10 08:07:54+00:00,350.0,403,151.0,252.0,37.468982630272954,671,294,14,1994,546,29,278,0,0,7.0,1.0,0.14285714285714285,Medium
10000,2008-08-17 08:07:54+00:00,357.0,404,151.0,253.0,37.37623762376238,672,294,14,1998,547,29,279,0,0,9.0,1.0,0.1111111111111111,Medium
10000,2008-08-24 08:07:54+00:00,364.0,409,154.0,255.0,37.65281173594132,680,296,14,2021,553,29,282,0,0,25.0,1.0,0.04,Medium
10000,2008-08-31 08:07:54+00:00,371.0,412,156.0,256.0,37.86407766990291,684,297,14,2035,557,29,283,0,0,47.0,0.0,0.0,Low
10000,2008-09-07 08:07:54+00:00,378.0,413,157.0,256.0,38.01452784503632,685,297,14,2039,558,29,284,0,0,53.0,0.0,0.0,Low
10000,2008-09-14 08:07:54+00:00,385.0,427,160.0,267.0,37.470725995316165,715,314,16,2119,578,29,294,0,0,64.0,0.0,0.0,Low
10000,2008-09-21 08:07:54+00:00,392.0,445,177.0,268.0,39.7752808988764,751,335,17,2216,606,30,301,0,0,56.0,0.0,0.0,Low
10000,2008-09-28 08:07:54+00:00,399.0,485,195.0,290.0,40.20618556701031,828,372,18,2439,659,33,328,0,0,40.0,0.0,0.0,Low
10000,2008-10-05 08:07:54+00:00,406.0,505,210.0,295.0,41.584158415841586,870,400,20,2549,689,33,339,0,0,25.0,0.0,0.0,Low
10000,2008-10-12 08:07:54+00:00,413.0,536,222.0,314.0,41.417910447761194,941,430,25,2717,728,34,359,0,0,13.0,0.0,0.0,Low
10000,2008-10-19 08:07:54+00:00,420.0,546,232.0,314.0,42.49084249084249,959,440,26,2770,743,36,364,0,0,3.0,0.0,0.0,Low
10000,2009-03-01 08:07:54+00:00,553.0,727,235.0,492.0,32.32462173314993,1316,626,32,3739,1002,47,486,0,0,4.0,1.0,0.25,High
10000,2009-03-08 08:07:54+00:00,560.0,740,235.0,505.0,31.756756756756754,1338,636,32,3805,1017,50,494,0,0,21.0,3.0,0.14285714285714285,Medium
10000,2009-03-15 08:07:54+00:00,567.0,762,235.0,527.0,30.839895013123357,1376,680,32,3941,1067,51,505,0,0,23.0,3.0,0.13043478260869565,Medium
10000,2009-03-22 08:07:54+00:00,574.0,777,235.0,542.0,30.244530244530242,1404,697,32,4021,1090,51,515,0,0,32.0,3.0,0.09375,Medium
10000,2009-03-29 08:07:54+00:00,581.0,791,235.0,556.0,29.70922882427307,1434,718,34,4099,1114,52,522,0,0,45.0,8.0,0.17777777777777778,High
10000,2009-04-05 08:07:54+00:00,588.0,813,251.0,562.0,30.873308733087327,1480,749,35,4225,1150,57,536,0,0,33.0,5.0,0.15151515151515152,Medium
10000,2009-04-12 08:07:54+00:00,595.0,828,258.0,570.0,31.15942028985507,1511,767,36,4307,1170,58,541,0,0,41.0,6.0,0.14634146341463414,Medium
10000,2009-04-19 08:07:54+00:00,602.0,838,265.0,573.0,31.62291169451074,1551,791,42,4366,1188,59,549,0,0,41.0,8.0,0.1951219512195122,High
10000,2009-04-26 08:07:54+00:00,609.0,856,280.0,576.0,32.71028037383177,1592,815,45,4465,1216,59,562,0,0,32.0,3.0,0.09375,Medium
10000,2009-05-03 08:07:54+00:00,616.0,864,284.0,580.0,32.870370370370374,1610,822,46,4507,1226,59,567,0,0,31.0,3.0,0.0967741935483871,Medium
10000,2009-05-10 08:07:54+00:00,623.0,876,296.0,580.0,33.789954337899545,1634,839,47,4574,1246,60,575,0,0,33.0,3.0,0.09090909090909091,Medium
10000,2009-05-17 08:07:54+00:00,630.0,889,305.0,584.0,34.308211473565805,1659,853,49,4640,1265,60,581,0,0,31.0,2.0,0.06451612903225806,Medium
10000,2009-05-24 08:07:54+00:00,637.0,892,311.0,581.0,34.865470852017935,1668,857,50,4656,1269,60,584,0,0,49.0,18.0,0.3673469387755102,Critical
10000,2009-05-31 08:07:54+00:00,644.0,896,312.0,584.0,34.82142857142857,1675,860,50,4677,1275,60,588,0,0,95.0,41.0,0.43157894736842106,Critical
10000,2009-06-07 08:07:54+00:00,651.0,910,328.0,582.0,36.043956043956044,1696,868,51,4744,1292,60,595,0,0,116.0,56.0,0.4827586206896552,Critical
10000,2009-06-14 08:07:54+00:00,658.0,919,333.0,586.0,36.235038084874866,1714,880,52,4792,1308,60,602,0,0,119.0,61.0,0.5126050420168067,Critical
