project_id,project_key,project_name,Total_Issues,Unique_Issues,Issues_With_Created,Issues_With_Resolution,Completed_Issues,Total_Story_Points,Average_Story_Points,Total_Worklog_Hours,Average_Task_Duration_Days,Median_Task_Duration_Days,Average_Transitions,Average_Reassignments,Average_Reopens,Total_Reopens,Total_Worklogs,Total_Dependencies,Total_Blocking_Issues,Total_Blocked_By,Earliest_Created,Latest_Created,Earliest_Resolution,Latest_Resolution,Completion_Percentage,Resolution_Coverage_Percentage,Project_Duration_Days,Usable_Temporal_Data
10000,AC,Accumulate,3054,3054,5,0,2031,3809.0,4.185714285714286,575.2,,,3.735101506221349,0.4639816633922724,0.0,0,111,1195,232,208,2022-01-12 21:06:43+00:00,2022-07-25 13:09:19+00:00,,,66.50294695481335,0.0,,False
10000,AMDATU,Amdatu,524,524,2,1,472,643.0,5.062992125984252,0.0,,,2.730916030534351,1.7767175572519085,0.3683206106870229,193,0,217,0,0,2012-01-19 11:25:43+00:00,2012-03-05 13:14:05+00:00,2012-02-23 14:45:23+00:00,2012-02-23 14:45:23+00:00,90.07633587786259,0.19083969465648853,35.13865740740741,False
10000,ASSS,Alpha SSS,681,681,2,0,447,1128.0,2.8702290076335877,165.049999996,,,1.7841409691629957,0.06020558002936858,0.0,0,130,514,26,26,2015-03-12 20:36:03+00:00,2015-07-05 01:08:34+00:00,,,65.63876651982379,0.0,,False
10000,GATEWAY,CONNECT Gateway - deprecated,3878,3878,3874,1564,3542,3434.5,2.9304607508532423,8970.816666722,59.44995498395614,13.149612268518519,2.3414130995358433,0.9889118102114492,0.11010830324909747,427,1710,2106,0,0,2009-07-27 11:42:09+00:00,2013-02-12 15:10:44+00:00,2009-11-05 19:42:40+00:00,2013-02-13 20:09:44+00:00,91.33574007220217,40.33006704486849,1297.352488425926,True
10000,GNM,Geplante Netzmaßnahmen,1138,1138,1,2,1118,422.0,4.637362637362638,0.0,,,1.818980667838313,1.0228471001757469,0.0,0,0,33,12,11,2018-03-14 14:12:02+00:00,2018-03-14 14:12:02+00:00,2018-04-24 08:26:24+00:00,2018-07-11 07:38:06+00:00,98.24253075571178,0.17574692442882248,118.72643518518518,False
10000,INTEGRATED,Integrated,1726,1726,1,0,1221,1137.0,2.7597087378640777,4670.125000045,,,6.533024333719583,5.405561993047509,0.0,0,4822,912,145,145,2020-09-16 10:05:58+00:00,2020-09-16 10:05:58+00:00,,,70.74159907300115,0.0,,False
10000,OP,openIMIS,2340,2340,2,0,820,525.5,2.2457264957264957,8098.316666674,,,3.1735042735042733,1.2004273504273504,0.0,0,2570,935,77,75,2021-09-30 06:11:17+00:00,2024-09-30 15:12:27+00:00,,,35.04273504273504,0.0,,False
10000,ZBX,ZABBIX BUGS AND ISSUES,24364,24363,24364,12770,21998,4432.9385,0.7918789746337979,13371.883333321,199.42482008885844,19.21978587962963,5.066245279921195,3.244500082088327,0.24400755212608766,5945,4527,9161,0,0,2007-08-26 08:07:54+00:00,2025-09-02 07:40:30+00:00,2007-08-26 09:44:51+00:00,2025-09-02 05:16:50+00:00,90.28895091118044,52.41339681497291,6581.881203703703,True
10001,CART,CaRT,884,884,876,504,883,1214777.0,1910.0267295597484,0.0,149.72365095440182,53.425925925925924,2.259049773755656,0.6425339366515838,0.03167420814479638,28,0,220,0,26,2016-04-08 14:50:19+00:00,2021-08-16 16:24:03+00:00,2016-10-13 14:08:47+00:00,2021-08-06 14:04:47+00:00,99.8868778280543,57.01357466063348,1945.9683796296297,True
10001,DSW,Data Stewardship Wizard,2151,2151,2,1,1875,1891.0,4.775252525252525,8.416666667,,,3.5476522547652256,0.5532310553231056,0.002789400278940028,6,6,142,30,30,2020-01-26 11:49:29+00:00,2020-06-25 07:48:02+00:00,2024-01-31 11:45:55+00:00,2024-01-31 11:45:55+00:00,87.16875871687587,0.046490004649000466,1465.997523148148,False
