Project_ID,Project_Type,Team_Size,Project_Budget_USD,Estimated_Timeline_Months,Complexity_Score,Stakeholder_Count,Methodology_Used,Team_Experience_Level,Past_Similar_Projects,External_Dependencies_Count,Change_Request_Frequency,Project_Phase,Requirement_Stability,Team_Turnover_Rate,Historical_Risk_Incidents,Stakeholder_Engagement_Level,Schedule_Pressure,Budget_Utilization_Rate,Market_Volatility,Integration_Complexity,Resource_Availability,Priority_Level,Cross_Functional_Dependencies,Previous_Delivery_Success_Rate,Technical_Debt_Level,Project_Manager_Experience,Org_Process_Maturity,Key_Stakeholder_Availability,Tech_Environment_Stability,Resource_Contention_Level,Industry_Volatility,Client_Experience_Level,Change_Control_Maturity,Risk_Management_Maturity,Documentation_Quality,Current_Phase_Duration_Months,Seasonal_Risk_Factor,Total_Tasks,Completion_Percentage,Completed_Tasks,Overdue_Tasks,Delay_Percentage,Average_Delay_Days,Employee_Workload,Estimated_Effort_Hours,Actual_Effort_Hours,Risk_Level
PROJ_0001,Construction,32,1526276.55,32,9.7,16,Waterfall,Senior,3,3,1.05,Planning,Moderate,0.16,2,Medium,0.0,0.82,0.55,2.66,0.98,Medium,6,0.8,0.0,Mid-level PM,Managed,Limited,Unknown,High,Extreme,First-time,Basic,Basic,Good,5,1.0,192,16,30,6,37.41,1,High,5120,7035,High
PROJ_0002,Manufacturing,2,390790.15,9,2.72,9,Kanban,Mixed,0,2,2.61,Execution,Moderate,0.42,2,Excellent,0.0,0.76,0.29,2.45,0.95,Low,3,0.73,0.0,Mid-level PM,Optimizing,Excellent,Unknown,Low,Stable,Occasional,Advanced,Formal,Poor,3,1.0,14,44,6,4,14.53,13,Low,1440,1649,Low
PROJ_0003,Manufacturing,2,246674.76,6,2.04,7,Agile,Mixed,1,0,0.83,Initiation,Stable,0.55,2,Excellent,0.0,1.17,0.15,5.57,0.79,High,2,0.91,0.0,Mid-level PM,Ad-hoc,Moderate,Unknown,High,Stable,Regular,Unknown,Unknown,Good,1,1.0,8,64,5,1,15.61,13,Medium,960,1109,Medium
PROJ_0004,IT,12,1427830.63,17,7.54,16,Scrum,Mixed,0,5,2.42,Initiation,Moderate,0.33,1,Medium,0.1,0.73,0.74,7.49,0.52,Critical,5,0.71,0.43,Certified PM,Managed,Good,Mixed,High,Extreme,Strategic,Formal,Basic,Basic,6,1.1,72,23,16,5,4.24,8,High,2720,2835,High
PROJ_0005,Construction,24,1696746.64,24,6.68,17,Hybrid,Junior,0,2,0.16,Execution,Stable,0.36,1,Low,0.0,0.6,0.19,1.64,0.58,Medium,6,0.83,0.0,Certified PM,Defined,Moderate,Unknown,High,Moderate,Occasional,Basic,Unknown,Basic,6,1.0,144,19,27,2,26.82,14,Medium,3840,4869,High
PROJ_0006,IT,13,1106456.85,18,7.11,12,Kanban,Mixed,0,5,0.68,Initiation,Moderate,0.24,2,Poor,0.0,1.13,0.12,1.41,0.33,Medium,4,0.66,0.37,Mid-level PM,Managed,Limited,Mixed,Low,Stable,Strategic,Formal,Advanced,Basic,7,1.0,91,89,80,1,11.55,6,Low,2880,3212,Medium
PROJ_0007,R&D,12,1122048.59,21,10.0,11,Scrum,Senior,3,5,2.76,Closure,Moderate,0.31,3,Low,0.16,0.77,0.74,3.14,0.56,Low,7,0.77,0.0,Mid-level PM,Defined,Limited,Unknown,High,High,First-time,Basic,Unknown,Good,7,1.0,48,25,12,5,23.42,13,High,3360,4146,Critical
PROJ_0008,Healthcare,9,1208078.86,15,4.53,9,Kanban,Mixed,3,4,0.28,Closure,Moderate,0.47,2,High,0.0,0.78,0.57,7.67,0.84,High,5,0.91,0.0,Mid-level PM,Optimizing,Excellent,Unknown,Low,High,Strategic,Formal,Basic,Poor,2,1.0,36,63,22,4,23.65,5,Low,2400,2967,Low
PROJ_0009,Construction,37,1833354.63,35,9.49,13,Waterfall,Mixed,0,4,3.61,Execution,Moderate,0.46,0,Low,0.0,0.63,0.38,8.29,0.99,Low,1,0.81,0.0,Senior PM,Optimizing,Poor,Unknown,High,High,Occasional,Basic,Formal,Basic,5,1.0,222,98,217,0,28.77,4,Low,5600,7211,Critical
PROJ_0010,Construction,41,2404494.18,28,5.09,18,Waterfall,Senior,2,2,0.83,Closure,Moderate,0.13,1,Medium,0.0,1.23,0.51,8.05,0.58,High,1,0.96,0.0,Senior PM,Ad-hoc,Moderate,Unknown,High,Moderate,Strategic,Unknown,Unknown,Basic,9,1.0,205,86,176,6,29.81,14,Medium,4480,5815,Medium
PROJ_0011,Healthcare,9,602745.38,7,3.64,8,Scrum,Mixed,1,3,1.35,Initiation,Moderate,0.31,1,Excellent,0.23,1.13,0.72,1.56,0.4,High,6,0.72,0.0,Junior PM,Optimizing,Good,Unknown,Medium,Moderate,Regular,Formal,Formal,Poor,2,1.0,54,79,42,6,20.58,3,Medium,1120,1350,Critical
PROJ_0012,Construction,15,920898.01,10,3.54,11,Hybrid,Mixed,1,3,0.91,Execution,Stable,0.17,0,Low,0.0,1.17,0.54,5.29,0.89,Low,0,0.4,0.0,Mid-level PM,Defined,Limited,Unknown,High,Stable,First-time,Basic,Basic,Basic,1,1.0,90,53,47,1,13.24,7,Medium,1600,1811,High
PROJ_0013,IT,15,1161853.69,18,8.59,9,Agile,Expert,4,6,1.13,Execution,Moderate,0.18,3,High,0.16,0.87,0.07,3.06,0.68,Medium,6,0.7,0.5,Certified PM,Defined,Excellent,Legacy/Unstable,Low,Moderate,Regular,Formal,Formal,Basic,5,1.1,90,82,73,4,33.5,1,High,2880,3844,Medium
PROJ_0014,Marketing,14,880447.31,16,8.39,7,Agile,Senior,2,3,0.61,Monitoring,Volatile,0.55,1,Low,0.24,1.1,0.58,6.46,0.6,Low,6,0.72,0.0,Senior PM,Defined,Limited,Unknown,High,High,Occasional,Formal,Unknown,Good,6,1.0,84,54,45,6,12.39,7,High,2560,2877,Critical
PROJ_0015,Construction,11,877904.48,14,4.27,8,Hybrid,Expert,2,2,0.3,Initiation,Moderate,0.28,2,Poor,0.0,0.97,0.4,6.04,0.41,Low,6,0.69,0.0,Junior PM,Managed,Poor,Unknown,Low,Stable,First-time,Formal,Basic,Basic,5,1.0,77,65,50,6,20.3,0,Medium,2240,2694,High
PROJ_0016,Construction,17,950825.03,13,3.7,13,Hybrid,Junior,0,0,0.25,Closure,Moderate,0.15,2,Low,0.0,1.26,0.14,8.82,0.64,Medium,0,0.46,0.0,Senior PM,Managed,Poor,Unknown,Low,Stable,Regular,Formal,Basic,Good,3,1.0,68,93,63,3,16.05,9,High,2080,2413,High
PROJ_0017,IT,14,805495.26,21,10.0,11,Scrum,Junior,1,5,2.63,Monitoring,Moderate,0.43,2,Low,0.16,0.83,0.11,1.68,0.81,Low,7,0.69,0.69,Mid-level PM,Defined,Poor,Mixed,Low,High,First-time,Formal,Basic,Basic,8,1.0,98,91,89,2,34.2,0,High,3360,4509,Critical
PROJ_0018,IT,5,783474.83,11,5.17,8,Agile,Mixed,2,4,2.87,Planning,Moderate,0.37,3,Low,0.15,0.98,0.74,5.68,0.6,Critical,2,0.53,0.4,Mid-level PM,Ad-hoc,Moderate,Modern/Stable,Medium,Moderate,Strategic,Basic,Unknown,Good,4,1.1,35,66,23,1,17.28,2,Medium,1760,2064,High
PROJ_0019,IT,8,600816.42,12,6.14,9,Scrum,Senior,0,3,1.07,Planning,Stable,0.15,2,Excellent,0.22,0.96,1.0,9.08,0.62,Low,6,0.6,0.48,Senior PM,Defined,Excellent,Modern/Stable,High,Moderate,First-time,Basic,Advanced,Excellent,5,1.0,56,30,16,0,15.44,4,Low,1920,2216,Low
PROJ_0020,IT,9,986572.7,9,3.86,8,Agile,Mixed,0,1,0.91,Closure,Moderate,0.59,1,Medium,0.07,0.76,0.0,6.01,0.83,Critical,6,0.83,0.43,Mid-level PM,Managed,Good,Modern/Stable,Low,High,Strategic,Formal,Formal,Basic,3,1.0,54,77,41,6,27.59,13,High,1440,1837,Low
PROJ_0021,Manufacturing,5,491308.77,8,2.32,4,Hybrid,Mixed,1,1,4.44,Closure,Moderate,0.33,0,Medium,0.0,0.88,0.98,4.68,0.93,High,2,0.81,0.0,Mid-level PM,Defined,Moderate,Unknown,High,Stable,First-time,Unknown,Formal,Basic,1,1.0,25,59,14,3,24.1,5,High,1280,1588,Medium
PROJ_0022,Construction,31,2334012.63,25,6.64,19,Hybrid,Senior,3,3,2.69,Initiation,Stable,0.28,0,Excellent,0.0,1.09,0.01,3.94,0.66,Low,5,0.72,0.0,Senior PM,Ad-hoc,Limited,Unknown,Medium,Extreme,Regular,Unknown,Unknown,Good,6,1.0,124,42,52,4,4.29,3,Low,4000,4171,High
PROJ_0023,IT,6,710067.31,10,5.45,8,Scrum,Expert,6,2,0.43,Initiation,Moderate,0.27,0,Excellent,0.27,1.19,0.74,7.91,0.65,Medium,7,0.73,0.6,Senior PM,Optimizing,Moderate,Modern/Stable,Medium,Stable,First-time,Formal,Advanced,Basic,3,1.0,30,16,4,6,20.33,6,Low,1600,1925,Low
PROJ_0024,Marketing,25,1242953.21,28,8.35,12,Waterfall,Senior,4,6,0.29,Planning,Moderate,0.21,2,High,0.0,0.85,0.78,7.35,0.61,High,1,0.84,0.0,Senior PM,Defined,Moderate,Unknown,High,High,Strategic,Basic,Unknown,Good,7,1.1,175,79,138,7,29.42,6,Low,4480,5798,High
PROJ_0025,R&D,10,1047552.12,17,6.72,12,Agile,Mixed,0,3,1.92,Planning,Moderate,0.49,3,High,0.0,1.0,0.16,6.44,0.52,Low,7,0.72,0.0,Mid-level PM,Defined,Good,Unknown,Medium,Moderate,First-time,Unknown,Unknown,Poor,6,1.0,70,24,16,2,39.68,1,Medium,2720,3799,Critical
PROJ_0026,R&D,30,2870943.88,30,10.0,20,Agile,Junior,0,4,0.35,Monitoring,Moderate,0.36,2,Low,0.0,1.27,0.38,2.77,0.64,High,3,0.68,0.0,Mid-level PM,Defined,Moderate,Unknown,High,Extreme,Strategic,Basic,Basic,Poor,12,1.0,150,91,136,0,25.17,1,Low,4800,6008,Critical
PROJ_0027,IT,11,1194428.17,19,6.48,8,Kanban,Mixed,0,3,1.18,Planning,Stable,0.57,2,High,0.0,0.93,0.18,3.81,0.46,High,1,0.94,0.27,Mid-level PM,Managed,Moderate,Mixed,High,High,Strategic,Basic,Unknown,Good,8,1.0,55,41,22,4,14.81,1,Medium,3040,3490,Medium
PROJ_0028,R&D,21,1607502.4,24,9.33,17,Agile,Senior,1,3,0.38,Monitoring,Stable,0.09,0,Low,0.0,0.84,0.8,9.34,0.46,Critical,5,0.83,0.0,Senior PM,Ad-hoc,Moderate,Unknown,Medium,High,Regular,Basic,Unknown,Good,7,1.0,105,84,88,4,9.05,14,Low,3840,4187,Critical
PROJ_0029,IT,6,893417.2,14,4.52,7,Kanban,Mixed,0,3,0.76,Closure,Stable,0.53,1,High,0.0,0.82,0.83,7.0,0.39,Low,7,0.72,0.02,Senior PM,Defined,Excellent,Mixed,High,High,Regular,Formal,Basic,Basic,3,1.0,42,29,12,1,34.91,13,Low,2240,3021,Medium
PROJ_0030,R&D,12,1097471.56,20,9.06,10,Agile,Senior,1,3,0.78,Monitoring,Moderate,0.12,0,High,0.12,0.73,0.32,8.51,0.74,Low,4,0.82,0.0,Senior PM,Optimizing,Excellent,Unknown,Low,High,First-time,Advanced,Advanced,Basic,3,1.0,84,97,81,6,32.58,14,Medium,3200,4242,Low
PROJ_0031,Construction,20,1371669.22,15,3.68,14,Waterfall,Mixed,3,1,4.68,Initiation,Moderate,0.15,1,Poor,0.0,1.28,0.78,4.19,0.59,Low,5,0.7,0.0,Junior PM,Optimizing,Moderate,Unknown,Low,Stable,Strategic,Formal,Advanced,Excellent,4,1.0,80,24,19,1,9.36,1,Medium,2400,2624,Low
PROJ_0032,IT,10,1013528.15,19,9.81,8,Agile,Mixed,0,3,0.54,Execution,Volatile,0.37,2,Poor,0.23,0.64,0.75,3.42,0.68,Low,4,0.68,0.15,Mid-level PM,Managed,Limited,Mixed,High,Extreme,Occasional,Basic,Unknown,Poor,4,1.0,40,57,22,0,8.03,12,Low,3040,3284,Critical
PROJ_0033,IT,14,908431.42,19,7.55,13,Scrum,Senior,1,5,2.38,Execution,Volatile,0.36,2,Medium,0.0,0.6,0.03,2.5,0.43,Low,5,0.74,0.05,Senior PM,Optimizing,Moderate,Legacy/Unstable,High,Moderate,Regular,Formal,Formal,Good,6,1.1,98,80,78,7,28.61,8,Low,3040,3909,Critical
PROJ_0034,Construction,33,1759357.43,25,6.41,16,Waterfall,Senior,3,4,0.39,Closure,Stable,0.18,2,High,0.0,1.21,0.19,8.22,0.62,Low,1,0.83,0.0,Senior PM,Managed,Excellent,Unknown,High,Moderate,Occasional,Formal,Basic,Basic,7,1.0,165,30,49,6,12.6,13,Low,4000,4504,Low
PROJ_0035,Marketing,2,382508.91,9,3.35,8,Kanban,Junior,0,1,2.32,Closure,Stable,0.44,1,High,0.0,0.92,0.61,4.15,0.38,Medium,5,0.94,0.0,Senior PM,Defined,Good,Unknown,Low,High,First-time,Formal,Unknown,Basic,3,1.1,10,51,5,5,12.26,4,High,1440,1616,Medium
PROJ_0036,Marketing,4,628705.64,9,4.43,5,Agile,Junior,0,2,1.08,Monitoring,Volatile,0.23,0,Excellent,0.19,0.95,0.66,8.4,0.57,High,2,0.93,0.0,Senior PM,Ad-hoc,Moderate,Unknown,High,Stable,Regular,Unknown,Formal,Good,1,1.0,16,35,5,6,6.09,10,Low,1440,1527,High
PROJ_0037,R&D,26,2534703.15,27,10.0,19,Agile,Senior,3,4,1.15,Execution,Moderate,0.14,1,Poor,0.0,1.13,0.9,6.87,0.52,Critical,1,0.85,0.0,Mid-level PM,Defined,Limited,Unknown,High,High,Strategic,Basic,Unknown,Excellent,12,1.0,182,23,41,7,10.56,7,Medium,4320,4776,High
PROJ_0038,Marketing,10,979183.19,13,5.07,9,Agile,Senior,0,4,0.54,Execution,Stable,0.35,0,Excellent,0.0,0.89,0.48,1.16,0.6,Medium,6,0.88,0.0,Junior PM,Ad-hoc,Poor,Unknown,High,Moderate,Strategic,Unknown,Basic,Basic,1,1.0,40,66,26,5,17.1,4,High,2080,2435,Medium
PROJ_0039,R&D,24,2223296.44,25,10.0,19,Scrum,Mixed,0,4,0.84,Planning,Moderate,0.11,2,Excellent,0.0,0.62,0.08,9.2,0.63,High,7,0.59,0.0,Junior PM,Managed,Good,Unknown,Low,Extreme,Regular,Formal,Unknown,Excellent,1,1.0,96,46,44,4,29.31,12,Medium,4000,5172,High
