ID,Issue_Key,Project_ID,Creation_Date,Estimation_Date,Type,Priority,Story_Point,estimated_duration_days,has_assignee,has_sprint,delay_days,task_risk_level
68,XD-3765,1,2017-03-21 16:54:44+00:00,2017-03-21 16:54:44+00:00,Story,Minor,8.0,,1,0,0.00045138888888888887,Low
85,XD-3748,1,2016-02-24 10:51:02+00:00,2016-02-24 10:51:02+00:00,Bug,Minor,1.0,,1,0,303.165775462963,Critical
86,XD-3747,1,2016-02-23 18:31:38+00:00,2016-02-23 18:31:38+00:00,Improvement,Minor,1.0,,1,0,303.84569444444446,Critical
87,XD-3746,1,2016-02-23 18:18:48+00:00,2016-02-23 18:18:48+00:00,Improvement,Minor,1.0,,1,0,0.0002199074074074074,Low
88,XD-3745,1,2016-02-23 18:04:09+00:00,2016-02-23 18:04:09+00:00,Improvement,Minor,1.0,,1,0,0.00038194444444444446,Low
89,XD-3744,1,2016-02-22 15:27:31+00:00,2016-02-22 15:27:31+00:00,Improvement,Minor,1.0,,1,1,0.13472222222222222,Low
90,XD-3743,1,2016-02-17 14:28:31+00:00,2016-02-17 14:28:31+00:00,Bug,Minor,1.0,,1,1,3.4999305555555558,Low
91,XD-3742,1,2016-02-16 14:59:06+00:00,2016-02-16 14:59:06+00:00,Improvement,Minor,3.0,,1,1,3.2119560185185185,Low
92,XD-3741,1,2016-02-13 19:04:24+00:00,2016-02-13 19:04:24+00:00,Bug,Major,1.0,,0,1,7.308472222222222,Medium
93,XD-3740,1,2016-02-11 17:45:54+00:00,2016-02-11 17:45:54+00:00,Bug,Minor,1.0,,1,1,9.362824074074075,Medium
94,XD-3739,1,2016-02-05 16:01:49+00:00,2016-02-05 16:01:49+00:00,Bug,Major,5.0,,1,1,7.254918981481482,Medium
95,XD-3738,1,2016-02-03 09:40:06+00:00,2016-02-03 09:40:06+00:00,Improvement,Minor,2.0,,1,1,13.2546875,Medium
96,XD-3737,1,2016-02-02 17:52:11+00:00,2016-02-02 17:52:11+00:00,Bug,Minor,1.0,,1,1,1.0857175925925926,Low
97,XD-3736,1,2016-02-01 19:00:42+00:00,2016-02-01 19:00:42+00:00,Improvement,Minor,2.0,,1,1,11.131018518518518,Medium
99,XD-3734,1,2016-01-15 19:55:41+00:00,2016-01-15 19:55:41+00:00,Bug,Minor,1.0,,1,1,28.093310185185185,High
100,XD-3733,1,2016-01-14 13:10:10+00:00,2016-01-14 13:10:10+00:00,Improvement,Minor,1.0,,1,1,29.375416666666666,High
