iter	Passed	Remaining
0	223	111715
1	299	74597
2	371	61580
3	438	54314
4	492	48802
5	543	44772
6	600	42273
7	648	39878
8	696	37980
9	760	37243
10	792	35211
11	848	34515
12	897	33630
13	949	32968
14	1001	32391
15	1054	31913
16	1119	31803
17	1172	31388
18	1239	31386
19	1292	31022
20	1343	30655
21	1409	30620
22	1463	30356
23	1517	30090
24	1578	29989
25	1639	29894
26	1700	29784
27	1757	29632
28	1809	29389
29	1860	29149
30	1909	28889
31	1959	28659
32	2028	28700
33	2078	28486
34	2135	28372
35	2191	28250
36	2242	28065
37	2301	27987
38	2357	27869
39	2426	27903
40	2477	27739
41	2530	27590
42	2580	27420
43	2635	27314
44	2686	27167
45	2747	27120
46	2800	26990
47	2850	26845
48	2915	26837
49	2980	26827
50	3045	26811
51	3108	26778
52	3155	26609
53	3226	26649
54	3277	26516
55	3398	26944
56	3447	26796
57	3495	26639
58	3561	26622
59	3620	26552
60	3673	26434
61	3737	26405
62	3788	26280
63	3851	26237
64	3907	26147
65	3957	26020
66	4025	26016
67	4081	25926
68	4136	25835
69	4196	25778
70	4264	25766
71	4330	25744
72	4391	25689
73	4452	25633
74	4515	25585
75	4572	25508
76	4633	25456
77	4701	25438
78	4758	25360
79	4821	25311
80	4880	25246
81	4942	25193
82	4998	25114
83	5057	25044
84	5115	24976
85	5172	24898
86	5225	24803
87	5280	24720
88	5339	24659
89	5413	24662
90	5486	24659
91	5541	24575
92	5603	24523
93	5671	24497
94	5726	24411
95	5779	24323
96	5831	24228
97	5883	24133
98	5936	24047
99	5990	23963
100	6040	23864
101	6096	23788
102	6150	23704
103	6200	23609
104	6255	23531
105	6321	23496
106	6397	23496
107	6473	23496
108	6531	23428
109	6584	23343
110	6644	23285
111	6702	23218
112	6753	23127
113	6807	23051
114	6881	23038
115	6937	22964
116	6996	22903
117	7063	22865
118	7116	22784
119	7185	22754
120	7245	22694
121	7319	22679
122	7393	22660
123	7447	22581
124	7500	22502
125	7557	22432
126	7622	22387
127	7686	22338
128	7749	22286
129	7809	22227
130	7873	22178
131	7939	22135
132	8015	22117
133	8076	22060
134	8136	21998
135	8203	21955
136	8267	21904
137	8325	21839
138	8378	21759
139	8430	21677
140	8509	21664
141	8569	21605
142	8674	21655
143	8743	21616
144	8802	21550
145	8863	21491
146	8918	21417
147	8972	21338
148	9045	21307
149	9106	21249
150	9163	21178
151	9228	21127
152	9284	21056
153	9351	21011
154	9415	20956
155	9480	20906
156	9532	20825
157	9587	20752
158	9642	20680
159	9694	20600
160	9760	20552
161	9816	20482
162	9872	20411
163	9959	20404
164	10019	20342
165	10081	20284
166	10148	20236
167	10205	20167
168	10266	20107
169	10320	20033
170	10378	19968
171	10431	19893
172	10492	19832
173	10559	19783
174	10627	19736
175	10696	19690
176	10748	19613
177	10810	19555
178	10864	19483
179	10916	19407
180	10980	19353
181	11035	19282
182	11103	19234
183	11172	19187
184	11248	19153
185	11306	19087
186	11369	19030
187	11429	18968
188	11486	18901
189	11554	18852
190	11624	18806
191	11675	18729
192	11725	18652
193	11776	18574
194	11826	18498
195	11890	18442
196	11954	18386
197	12004	18310
198	12055	18234
199	12104	18157
200	12156	18083
201	12211	18014
202	12261	17939
