Feature,Importance
story_count,10.200232484026932
project_age_days,8.115037061324566
transition_count_change_4w,5.944538953207503
reassignment_count,5.175538633043425
completed_tasks,4.489107465317467
completion_percentage,4.454325364890251
total_tasks_change_4w,4.432445324437968
assignee_count,4.37889894864925
transition_count,3.9621400482819613
reopen_count,3.9144935629604234
pending_ratio,3.7643839467719
bug_count,3.7309251903007965
updated_by_count,3.6813155400950315
task_growth_rate_4w,3.540441445326468
new_tasks_4w,3.3512156534450366
completion_percentage_change_4w,3.1982360229867814
pending_tasks,3.0018834809117374
reassignment_count_change_4w,2.8895774941142496
high_priority_task_count,2.815064031598359
total_tasks,2.5246476374705833
critical_task_count,2.5042426131085667
pending_tasks_change_4w,2.3809677838840813
transitions_per_task_1w,1.6158084205210121
reassignments_per_task_1w,1.0343175653276884
total_tasks_change_1w,0.89046673186388
transition_count_change_1w,0.8313553914529104
reopen_count_change_4w,0.7765530148334544
completion_rate_1w,0.633642840630752
completion_percentage_change_1w,0.6045096370447788
pending_tasks_change_1w,0.591076359861797
reassignment_count_change_1w,0.36916979714090153
reopens_per_task_1w,0.1103916726770896
reopen_count_change_1w,0.09304988249238175
