Feature,Importance
story_count,6.662627631284706
project_age_days,4.553114610405894
transitions_per_assignee,4.230461300215998
completion_per_day,3.9976036589025963
completed_tasks_change_4w,3.9126118166075163
reassignment_rate,3.6993249173443292
reopen_rate,3.4941879230965864
transition_rate,3.490274540193777
transition_change_4w,3.3481597275520376
risk_pressure_score,3.2010001297853514
completed_tasks,3.1597301902213135
bug_count,3.1378471223455
reassignment_count,2.635048701503144
reopen_count,2.5670206117245504
reassignment_rate_change_4w,2.45705178769094
task_growth_rate_4w,2.334002320875432
pending_ratio,2.229750273240126
pending_tasks,2.1793935110745655
critical_task_count,2.1262546575516654
transition_count,2.0585562151776133
transition_count_change_4w,2.030378580793776
tasks_change_4w,2.0247304576114242
assignee_count,1.9814229950854718
completed_ratio,1.971754016299
completion_percentage,1.906570791773419
updated_by_count,1.848568290040689
total_tasks_change_4w,1.7342732950149224
total_tasks,1.667510966741667
pending_ratio_v3,1.616120602848448
new_tasks_4w,1.5753101390797597
reopen_rate_change_4w,1.5610880367646867
high_priority_task_count,1.4574204272412845
transitions_per_task_1w,1.293056345387087
pending_growth_4w,1.0067941786823413
reassignments_per_task_1w,0.8570302512608275
reassignment_count_change_4w,0.795207448496205
pending_tasks_change_4w,0.7172595681428368
pending_change_4w,0.6845721315810863
reassignment_change_4w,0.6665988343977348
transition_change_1w,0.6442504265857987
task_growth_vs_completion,0.6408966267264918
total_tasks_change_1w,0.4485553832487262
completion_percentage_change_4w,0.44154212942669646
completion_change_4w,0.4378588031065009
completion_rate_4w,0.41310783842789484
completion_acceleration,0.4036599612720158
transition_count_change_1w,0.39993414584373405
reopen_count_change_4w,0.38322093651998823
completion_velocity_4w,0.37716146876210066
pending_ratio_change_4w,0.37604547015712125
pending_tasks_change_1w,0.33413824515053064
completion_change_1w,0.33006340887061336
completion_percentage_change_1w,0.32006517270555807
tasks_change_1w,0.28845959588909087
reassignment_change_1w,0.2309549222764113
reopen_change_4w,0.20557913856053617
pending_change_1w,0.1992515779705947
reopens_per_task_1w,0.13687313268570786
reassignment_count_change_1w,0.0544752503134141
reopen_change_1w,0.04882489430456175
reopen_count_change_1w,0.015392467159579119
