Feature,Importance
story_count,7.079203278227188
transitions_per_assignee,4.3193696832597785
project_age_days,4.232598162939351
completion_per_day,3.89927320778353
completed_tasks_change_4w,3.5458241581675503
reassignment_rate,3.5427109628314004
transition_rate,3.495876927165153
transition_change_4w,3.4523478097508717
reopen_rate,3.2530344613588253
completed_tasks,3.020138591134112
risk_pressure_score,2.9689033511981875
bug_count,2.8824603268654947
reassignment_count,2.8552912268697135
transition_count_change_4w,2.6768251695843954
reopen_count,2.6212380588214397
transition_count,2.4400348775258602
critical_task_count,2.4210337726173594
task_growth_rate_4w,2.367249337690802
pending_tasks,2.2510416498788723
assignee_count,2.2342712722967164
reassignment_rate_change_4w,2.106131688196111
pending_ratio,2.0419813626812635
completion_percentage,1.9580646612270385
completed_ratio,1.9050375985001913
pending_ratio_v3,1.841253778980351
total_tasks_change_4w,1.8224461251425503
tasks_change_4w,1.796592191716484
high_priority_task_count,1.7399151720765198
total_tasks,1.6125093635267274
reopen_rate_change_4w,1.5443282878339493
updated_by_count,1.4818092159068146
new_tasks_4w,1.4485259074844563
transitions_per_task_1w,1.4022671465649492
pending_growth_4w,1.1596105668473242
task_growth_vs_completion,0.9967960976350533
reassignment_count_change_4w,0.9633951597248274
reassignment_change_4w,0.7312132107828384
transition_change_1w,0.7185847608274176
reassignments_per_task_1w,0.5643424714780502
tasks_change_1w,0.55210279450876
pending_tasks_change_4w,0.511017906385437
reopen_count_change_4w,0.49507421768460486
pending_change_4w,0.48268942999316994
pending_ratio_change_4w,0.44396853992684904
completion_rate_4w,0.42121225109111277
completion_change_4w,0.39502407335308415
completion_velocity_4w,0.37640294720528084
total_tasks_change_1w,0.37007601477387375
completion_change_1w,0.3487826585171228
completion_percentage_change_1w,0.3350494495110362
transition_count_change_1w,0.3018444811812385
completion_percentage_change_4w,0.2820859943583808
pending_tasks_change_1w,0.24438438954366098
pending_change_1w,0.23691767305155179
completion_acceleration,0.23497435968968292
reopen_change_4w,0.23195841674933523
reassignment_change_1w,0.16899556389621126
reassignment_count_change_1w,0.06541684139318643
reopens_per_task_1w,0.06432005572652495
reopen_change_1w,0.033871530693465386
reopen_count_change_1w,0.010299357666871645
