Feature,Importance
Complexity_Score,8.10516992465017
Technology_Familiarity,5.823740478232598
Team_Experience_Level,5.252016893858021
Org_Process_Maturity,5.104446065258981
Stakeholder_Engagement_Level,4.994933907270881
Key_Stakeholder_Availability,4.863821422991155
Risk_Management_Maturity,4.7865530796931575
Previous_Delivery_Success_Rate,4.017694329638978
Change_Control_Maturity,3.949940820864656
Team_Turnover_Rate,3.7173598106161907
Project_Manager_Experience,3.6908181600450534
Tech_Environment_Stability,3.689695947594454
Project_Phase,3.598350904594629
Resource_Contention_Level,3.2097115174819097
Requirement_Stability,3.161309401701707
Client_Experience_Level,2.9688737322879666
Executive_Sponsorship,2.9015106667997825
Industry_Volatility,2.763549851878024
Market_Volatility,2.354863325475092
Team_Colocation,1.9432020296406016
Resource_Availability,1.932970730844684
Integration_Complexity,1.6501684666657541
Communication_Frequency,1.6045077944650585
Data_Security_Requirements,1.3497719121601597
Vendor_Reliability_Score,1.291526682831856
Regulatory_Compliance_Level,1.2661304037068635
Cross_Functional_Dependencies,1.0400099589412704
Documentation_Quality,1.0209453882463477
Organizational_Change_Frequency,0.9036176484390337
Estimated_Timeline_Months,0.7182585195289318
Team_Size,0.677792300761228
Schedule_Pressure,0.6696876627993504
Methodology_Used,0.6351254049694729
External_Dependencies_Count,0.6277432713889727
Project_Budget_USD,0.6133208097248698
Change_Request_Frequency,0.5391990424166104
Technical_Debt_Level,0.4971095964066496
Past_Similar_Projects,0.4631764037628744
Project_Type,0.42245477024200445
Geographical_Distribution,0.3102339695418713
Project_Start_Month,0.2839809568790859
Stakeholder_Count,0.278209562736973
Priority_Level,0.194470551413706
Historical_Risk_Incidents,0.0757649144512667
Seasonal_Risk_Factor,0.03393957292088937
Contract_Type,0.0023214331802418327
Funding_Source,0.0
