iter	MultiClass
0	1.327927151
1	1.277819781
2	1.234713947
3	1.196809415
4	1.163330218
5	1.133675194
6	1.106396786
7	1.08190332
8	1.059953525
9	1.039974052
10	1.021251543
11	1.00393681
12	0.987422668
13	0.9726802048
14	0.9567821307
15	0.9411643567
16	0.9271603903
17	0.9140237101
18	0.9015230638
19	0.8900917684
20	0.8794138415
21	0.8692549816
22	0.8597355255
23	0.8515040373
24	0.8435703985
25	0.8362693368
26	0.828673517
27	0.8220442813
28	0.8157622123
29	0.8097075187
30	0.802538171
31	0.7958677945
32	0.789607377
33	0.7837097759
34	0.7782643727
35	0.7733050622
36	0.7684892348
37	0.7638778428
38	0.759718318
39	0.7557812203
40	0.751871877
41	0.7483671336
42	0.7448882135
43	0.7413783647
44	0.7386022242
45	0.7357338072
46	0.7326387278
47	0.7296903437
48	0.7264483153
49	0.7235251947
50	0.7209735755
51	0.7182587178
52	0.7158852593
53	0.7134667374
54	0.7111520421
55	0.7091241979
56	0.7070158355
57	0.7052003622
58	0.7026978363
59	0.7008031118
60	0.6976835306
61	0.6957150892
62	0.6936464128
63	0.6917292222
64	0.6890232457
65	0.6874264344
66	0.685715247
67	0.6837899538
68	0.6816450374
69	0.6804780731
70	0.6792241616
71	0.6778650191
72	0.6766848171
73	0.6744399097
74	0.6722111397
75	0.6701973125
76	0.6683536678
77	0.6667710496
78	0.665106387
79	0.6637910855
80	0.6624272676
81	0.6613037707
82	0.6602695734
83	0.6589910566
84	0.6583704642
85	0.6572528333
86	0.6564249961
87	0.65581817
88	0.6547493481
89	0.6537566085
90	0.6528730966
91	0.6518445934
92	0.6510646479
93	0.6500451468
94	0.649343733
95	0.6484727712
96	0.6480254979
97	0.6471861723
98	0.6465711125
99	0.6457268576
100	0.6450019767
101	0.6441794361
102	0.6435514166
103	0.642942649
104	0.6424107211
105	0.6419483568
106	0.6411958398
107	0.6404936091
108	0.639928203
109	0.6392637532
110	0.6387462025
111	0.6381691798
112	0.6377014198
113	0.6371597338
114	0.6365797385
115	0.636126643
116	0.6356375454
117	0.6351833159
118	0.634857009
119	0.634306144
120	0.6338668279
121	0.6332971178
122	0.6329215119
123	0.6324682361
124	0.6320572203
125	0.6314961287
126	0.6311487897
127	0.6308045333
128	0.6304725812
129	0.6301478665
130	0.6297767328
131	0.6292592107
132	0.6289433005
133	0.628693642
134	0.628238134
135	0.627855943
136	0.6275305634
137	0.6271499084
138	0.6268327778
139	0.6265659326
140	0.6262042777
141	0.6259379503
142	0.6255373294
143	0.6250886572
144	0.6244979542
145	0.6240943002
146	0.6236696066
147	0.6231207041
148	0.6228975172
149	0.6226201922
150	0.6223491034
151	0.6220763201
152	0.6217897395
153	0.621458088
154	0.6211875121
155	0.6209221726
156	0.6206616047
157	0.6203340146
158	0.6200870466
159	0.6198245574
160	0.619633081
161	0.6193430565
162	0.6191184742
163	0.6188860208
164	0.6186283039
165	0.6183393919
166	0.6180885388
167	0.6177962639
168	0.6174786097
169	0.6171738065
170	0.6169259101
171	0.6165785018
172	0.6164034143
173	0.6160510992
174	0.615762893
175	0.6155634646
176	0.6153992047
177	0.6152262039
178	0.6148592632
179	0.614685383
180	0.6144059903
181	0.6142761822
182	0.6141294143
183	0.6138580788
184	0.6136839957
185	0.6133220843
186	0.6131329475
187	0.612980693
188	0.6127495989
189	0.612565193
190	0.6123555977
191	0.6121124931
192	0.6118951858
193	0.6117332619
194	0.6115072783
195	0.6112697209
196	0.6111052243
197	0.6109023671
198	0.6107654181
199	0.6105423252
200	0.6104059493
201	0.6102168611
202	0.6100141921
203	0.6097859881
204	0.6095762962
205	0.6093193168
206	0.6091956204
207	0.6090723993
208	0.6088119966
209	0.6086034759
210	0.6084410296
211	0.6082845234
212	0.6081455221
213	0.6079664577
214	0.6078122263
215	0.6076795961
216	0.6074835352
217	0.6073363886
218	0.6071581837
219	0.606929305
