iter	Passed	Remaining
0	4257	2124594
1	7782	1937856
2	11111	1840858
3	14947	1853538
4	18044	1786448
5	21832	1797554
6	25187	1773886
7	28471	1750995
8	31873	1738861
9	35442	1736679
10	39350	1749292
11	42974	1747621
12	46592	1745424
13	50378	1748859
14	54034	1747127
15	57368	1735391
16	61138	1737041
17	64974	1739869
18	68784	1741328
19	72401	1737629
20	76303	1740454
21	80266	1743967
22	83621	1734235
23	87416	1733767
24	90829	1725760
25	94377	1720579
26	98348	1722920
27	101828	1716529
28	105738	1717344
29	109884	1721526
30	113160	1712002
31	116934	1710163
32	121084	1713527
33	125198	1715955
34	128935	1713002
35	132997	1714185
36	136882	1712878
37	140777	1711555
38	144541	1708560
39	148045	1702523
40	151663	1697892
41	155637	1697189
42	159519	1695362
43	163168	1691023
44	167130	1689870
45	170914	1686852
46	174592	1682775
47	178156	1677636
48	181942	1674616
49	185692	1671230
50	189085	1664695
51	192461	1658129
52	196139	1654236
53	199756	1649836
54	203870	1649500
55	207506	1645229
56	211498	1643749
57	215339	1641033
58	218844	1635773
59	222013	1628101
60	226316	1628737
61	230033	1625076
62	234189	1624458
63	238132	1622279
64	241926	1619044
65	245589	1614936
66	249644	1613372
67	253420	1609965
68	257141	1606200
69	260939	1602914
70	264631	1598970
71	268527	1596248
72	272142	1591844
73	275816	1587805
74	279440	1583493
75	283081	1579296
76	286730	1575153
77	290133	1569695
78	293768	1565523
79	297960	1564290
80	302062	1562522
81	306030	1560011
82	309546	1555192
83	312448	1547364
84	315242	1539122
85	318514	1533313
86	321550	1526440
87	324530	1519392
88	327834	1513931
89	330952	1507671
90	334293	1502485
91	337903	1498529
92	340820	1491546
93	344113	1486275
94	346718	1478115
95	349788	1472027
96	352844	1465940
97	356141	1460908
98	360220	1459073
99	363477	1453911
100	366689	1448604
101	369631	1442289
102	373270	1438720
103	376262	1432693
104	380053	1429726
105	383946	1427120
106	387481	1423179
107	391122	1419628
108	394295	1414400
109	397538	1409455
