feature,importance
task_age_days,61.69069712988008
assignee,12.567147745121755
sprint,6.226000277785171
status,5.286335219290354
issue_type,5.223068556471837
priority,3.486764093319835
changes_last_7_days,1.4593990672122858
story_points,1.4394025944557902
status_change_count,0.9561578343083936
assignee_change_count,0.5674269753589295
story_points_missing,0.5556391491449123
timespent,0.23136378144238134
story_point_change_count,0.1838323785149641
priority_change_count,0.08520360565978137
estimate_change_count,0.04156159203358611
