ID,Issue_Key,Project_ID,Type,Priority,Status,Resolution,Creation_Date,Estimation_Date,Resolution_Date,Last_Updated,Story_Point,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes,Assignee_ID
65,XD-3768,1,Bug,Major,To Do,,2017-07-10 13:41:25,2017-07-10 12:41:25,,2017-07-10 13:41:25,1.0,,0.0,0.0,0.0,
66,XD-3767,1,Bug,Trivial,To Do,,2017-06-26 16:26:27,2017-06-26 15:26:27,,2017-06-26 16:26:27,1.0,,0.0,0.0,0.0,
67,XD-3766,1,Bug,Major,To Do,,2017-05-19 22:28:43,2017-05-19 21:28:43,,2017-05-19 22:28:43,10.0,,0.0,0.0,0.0,
68,XD-3765,1,Story,Minor,Done,Complete,2017-03-21 16:54:44,2017-03-21 16:54:44,2017-03-21 16:55:23,2017-03-22 18:27:01,8.0,,0.0,0.0,0.0,71.0
69,XD-3764,1,Bug,Major,To Do,,2017-03-06 20:01:41,2017-03-06 20:01:41,,2017-03-06 20:01:41,5.0,,0.0,0.0,0.0,
70,XD-3763,1,Bug,Major,To Do,,2017-01-23 10:21:08,2017-01-23 10:21:08,,2017-01-23 10:24:49,1.0,,0.0,0.0,0.0,
71,XD-3762,1,Bug,Critical,To Do,,2016-11-07 09:10:20,2016-11-07 09:10:20,,2016-11-07 09:12:02,1.0,,0.0,0.0,0.0,
72,XD-3761,1,Bug,Major,To Do,,2016-09-25 09:03:53,2016-09-25 08:03:53,,2016-09-28 06:31:25,1.0,,0.0,0.0,0.0,
73,XD-3760,1,Improvement,Minor,To Do,,2016-09-19 06:43:48,2016-09-19 05:43:48,,2018-03-28 02:03:27,1.0,,0.0,0.0,0.0,
74,XD-3759,1,Bug,Minor,To Do,,2016-07-19 21:56:06,2016-07-19 20:56:06,,2016-12-23 14:48:09,1.0,,0.0,0.0,0.0,
75,XD-3758,1,Improvement,Minor,To Do,,2016-06-20 07:35:33,2016-06-20 06:35:33,,2016-06-20 15:24:13,4.0,,0.0,0.0,0.0,
76,XD-3757,1,Bug,Major,To Do,,2016-05-27 15:13:23,2016-05-27 14:13:23,,2016-05-30 14:48:45,4.0,,0.0,0.0,0.0,
77,XD-3756,1,Story,Blocker,To Do,,2016-05-23 10:11:59,2016-05-23 09:11:59,,2016-05-24 09:32:40,3.0,,0.0,0.0,0.0,
78,XD-3755,1,Bug,Minor,To Do,,2016-05-02 23:13:08,2016-05-02 22:13:08,,2016-12-23 14:47:53,5.0,,0.0,0.0,0.0,
79,XD-3754,1,Bug,Major,To Do,,2016-05-02 23:09:05,2016-05-02 22:09:05,,2016-12-23 14:47:40,5.0,,0.0,0.0,0.0,
80,XD-3753,1,Improvement,Minor,To Do,,2016-03-31 23:35:56,2016-03-31 22:35:56,,2016-03-31 23:35:56,2.0,,0.0,0.0,0.0,
81,XD-3752,1,Bug,Trivial,To Do,,2016-03-14 18:09:52,2016-03-14 18:09:52,,2016-03-14 18:09:52,20.0,,0.0,0.0,0.0,
82,XD-3751,1,Bug,Major,In PR,,2016-03-03 13:22:15,2016-03-03 13:22:15,,2016-03-03 18:41:19,5.0,,0.0,0.0,0.0,71.0
83,XD-3750,1,Bug,Major,To Do,,2016-02-29 10:00:19,2016-02-29 10:00:19,,2016-03-13 10:24:16,1.0,,0.0,0.0,0.0,
84,XD-3749,1,Bug,Major,To Do,,2016-02-26 15:57:18,2016-02-26 15:57:18,,2016-02-26 16:08:03,5.0,,0.0,0.0,0.0,
85,XD-3748,1,Bug,Minor,Done,Complete,2016-02-24 10:51:02,2016-02-24 10:51:02,2016-12-23 14:49:45,2016-12-23 14:49:45,1.0,,87.0,428822.0,436558.0,82.0
86,XD-3747,1,Improvement,Minor,Done,Complete,2016-02-23 18:31:38,2016-02-23 18:31:38,2016-12-23 14:49:26,2016-12-23 14:49:26,1.0,,2.0,336752.0,437537.0,82.0
87,XD-3746,1,Improvement,Minor,Done,Complete,2016-02-23 18:18:48,2016-02-23 18:18:48,2016-02-23 18:19:07,2016-02-23 18:19:10,1.0,,0.0,0.0,0.0,82.0
88,XD-3745,1,Improvement,Minor,Done,Complete,2016-02-23 18:04:09,2016-02-23 18:04:09,2016-02-23 18:04:42,2016-02-23 18:18:33,1.0,,0.0,0.0,0.0,82.0
89,XD-3744,1,Improvement,Minor,Done,Complete,2016-02-22 15:27:31,2016-02-22 15:27:31,2016-02-22 18:41:31,2016-02-23 17:56:59,1.0,,13.0,172.0,194.0,82.0
90,XD-3743,1,Bug,Minor,Done,Complete,2016-02-17 14:28:31,2016-02-17 14:28:31,2016-02-21 02:28:25,2016-02-21 02:28:25,1.0,,49.0,1915.0,5039.0,88.0
91,XD-3742,1,Improvement,Minor,Done,Complete,2016-02-16 14:59:06,2016-02-16 14:59:06,2016-02-19 20:04:19,2016-02-23 18:21:40,3.0,,1585.0,3066.0,4625.0,89.0
92,XD-3741,1,Bug,Major,Done,Complete,2016-02-13 19:04:24,2016-02-13 19:04:24,2016-02-21 02:28:36,2016-02-21 02:28:36,1.0,,0.0,0.0,10524.0,
93,XD-3740,1,Bug,Minor,Done,Complete,2016-02-11 17:45:54,2016-02-11 17:45:54,2016-02-21 02:28:22,2016-02-21 02:28:22,1.0,,0.0,8290.0,13482.0,91.0
94,XD-3739,1,Bug,Major,Done,Complete,2016-02-05 16:01:49,2016-02-05 16:01:49,2016-02-12 22:08:54,2016-02-12 22:08:54,5.0,,129.0,10419.0,10447.0,82.0
95,XD-3738,1,Improvement,Minor,Done,Complete,2016-02-03 09:40:06,2016-02-03 09:40:06,2016-02-16 15:46:51,2016-02-23 18:20:24,2.0,,0.0,11352.0,19086.0,89.0
96,XD-3737,1,Bug,Minor,Done,Complete,2016-02-02 17:52:11,2016-02-02 17:52:11,2016-02-03 19:55:37,2016-02-03 19:55:37,1.0,,144.0,1562.0,1563.0,93.0
97,XD-3736,1,Improvement,Minor,Done,Complete,2016-02-01 19:00:42,2016-02-01 19:00:42,2016-02-12 22:09:22,2016-02-23 17:56:41,2.0,,64.0,16002.0,16028.0,82.0
98,XD-3735,1,Improvement,Minor,To Do,,2016-01-20 12:01:56,2016-01-20 12:01:56,,2016-02-01 14:14:12,1.0,,0.0,0.0,0.0,
99,XD-3734,1,Bug,Minor,Done,Complete,2016-01-15 19:55:41,2016-01-15 19:55:41,2016-02-12 22:10:03,2016-02-12 22:10:03,1.0,,62.0,40423.0,40454.0,82.0
100,XD-3733,1,Improvement,Minor,Done,Complete,2016-01-14 13:10:10,2016-01-14 13:10:10,2016-02-12 22:10:46,2016-02-12 22:10:46,1.0,,122.0,16126.0,42300.0,82.0
101,XD-3732,1,Bug,Minor,Done,Invalid,2016-01-13 23:26:01,2016-01-13 23:26:01,2016-01-14 14:26:17,2016-01-14 14:26:28,2.0,,0.0,0.0,900.0,
102,XD-3731,1,Improvement,Minor,Done,Complete,2016-01-13 15:17:04,2016-01-13 15:17:04,2016-02-12 22:10:26,2016-02-23 17:57:27,1.0,,372.0,43613.0,43613.0,82.0
103,XD-3730,1,Bug,Critical,Done,Complete,2016-01-08 15:53:20,2016-01-08 15:53:20,2016-02-28 19:36:42,2016-02-28 19:36:42,3.0,,0.0,0.0,73663.0,
104,XD-3729,1,Improvement,Major,To Do,,2016-01-07 09:47:23,2016-01-07 09:47:23,,2016-01-07 09:48:28,3.0,,0.0,0.0,0.0,
105,XD-3728,1,Bug,Major,To Do,,2016-01-04 06:34:48,2016-01-04 06:34:48,,2016-01-04 12:38:58,5.0,,0.0,0.0,0.0,
106,XD-3727,1,Bug,Minor,To Do,,2015-12-29 17:15:28,2015-12-29 17:15:28,,2017-02-20 22:34:31,3.0,,0.0,0.0,0.0,
107,XD-3726,1,Bug,Major,To Do,,2015-12-18 16:19:58,2015-12-18 16:19:58,,2015-12-18 16:19:58,5.0,,0.0,0.0,0.0,
108,XD-3725,1,Bug,Blocker,Done,Complete,2015-12-17 18:11:37,2015-12-17 18:11:37,2015-12-25 00:16:17,2015-12-25 00:16:17,1.0,,10425.0,10425.0,10444.0,82.0
