project_id,issue_id,issue_key,snapshot_date,snapshot_number,issue_type,priority,status,story_points,story_points_missing,timespent,assignee,sprint,task_age_days,status_change_count,priority_change_count,assignee_change_count,story_point_change_count,estimate_change_count,changes_last_7_days,actual_duration_days,task_risk_level
1,85,XD-3748,2016-02-29 19:43:36,1,Bug,Minor,To Do,1.0,0,0.0,Unknown,Unknown,5.369837962962963,0,0,0,0,0,0,303.165775462963,Critical
1,85,XD-3748,2016-02-29 19:43:43,2,Bug,Minor,To Do,1.0,0,0.0,82.0,Unknown,5.369918981481481,0,0,1,0,0,1,303.165775462963,Critical
1,85,XD-3748,2016-02-29 21:11:30,3,Bug,Minor,In Progress,1.0,0,0.0,82.0,Unknown,5.430879629629629,1,0,1,0,0,2,303.165775462963,Critical
1,85,XD-3748,2016-12-23 14:46:00,4,Bug,Minor,In PR,1.0,0,0.0,82.0,Unknown,303.1631712962963,2,0,1,0,0,0,303.165775462963,Critical
1,85,XD-3748,2016-12-23 14:49:41,5,Bug,Minor,In Progress,1.0,0,0.0,82.0,Unknown,303.16572916666667,4,0,1,0,0,2,303.165775462963,Critical
1,86,XD-3747,2016-05-03 18:40:54,1,Improvement,Minor,To Do,1.0,0,0.0,Unknown,Unknown,70.00643518518518,0,0,0,0,0,0,303.84569444444446,Critical
1,86,XD-3747,2016-05-03 19:12:20,2,Improvement,Minor,To Do,1.0,0,0.0,82.0,Unknown,70.02826388888889,0,0,1,0,0,1,303.84569444444446,Critical
1,86,XD-3747,2016-05-03 19:15:12,3,Improvement,Minor,In Progress,1.0,0,0.0,82.0,Unknown,70.03025462962962,1,0,1,0,0,2,303.84569444444446,Critical
1,86,XD-3747,2016-12-23 14:44:47,4,Improvement,Minor,In PR,1.0,0,0.0,82.0,Unknown,303.84246527777776,2,0,1,0,0,0,303.84569444444446,Critical
1,86,XD-3747,2016-12-23 14:49:22,5,Improvement,Minor,In Progress,1.0,0,0.0,82.0,Unknown,303.84564814814814,4,0,1,0,0,2,303.84569444444446,Critical
1,87,XD-3746,2016-02-23 18:18:56,1,Story,Minor,To Do,1.0,0,0.0,Unknown,Unknown,9.259259259259259e-05,0,0,0,0,0,0,0.0002199074074074074,Low
1,87,XD-3746,2016-02-23 18:18:59,2,Improvement,Minor,To Do,1.0,0,0.0,82.0,Unknown,0.0001273148148148148,0,0,1,0,0,1,0.0002199074074074074,Low
1,87,XD-3746,2016-02-23 18:19:04,3,Improvement,Minor,In Progress,1.0,0,0.0,82.0,Unknown,0.00018518518518518518,1,0,1,0,0,3,0.0002199074074074074,Low
1,88,XD-3745,2016-02-23 18:04:17,1,Improvement,Minor,To Do,1.0,0,0.0,Unknown,Unknown,9.259259259259259e-05,0,0,0,0,0,0,0.00038194444444444446,Low
1,88,XD-3745,2016-02-23 18:04:23,2,Improvement,Minor,To Do,1.0,0,0.0,82.0,Unknown,0.00016203703703703703,0,0,1,0,0,1,0.00038194444444444446,Low
1,88,XD-3745,2016-02-23 18:04:31,3,Improvement,Minor,In Progress,1.0,0,0.0,82.0,Unknown,0.0002546296296296296,1,0,1,0,0,2,0.00038194444444444446,Low
1,89,XD-3744,2016-02-22 15:46:19,1,Improvement,Minor,To Do,1.0,0,0.0,Unknown,Unknown,0.013055555555555556,0,0,0,0,0,0,0.13472222222222222,Low
1,89,XD-3744,2016-02-22 15:49:31,2,Improvement,Minor,To Do,1.0,0,0.0,82.0,Unknown,0.015277777777777777,0,0,1,0,0,2,0.13472222222222222,Low
1,89,XD-3744,2016-02-22 16:03:29,3,Improvement,Minor,In Progress,1.0,0,0.0,82.0,Unknown,0.02497685185185185,1,0,1,0,0,3,0.13472222222222222,Low
1,90,XD-3743,2016-02-17 14:30:38,1,Bug,Minor,To Do,1.0,0,0.0,Unknown,Unknown,0.0014699074074074074,0,0,0,0,0,0,3.4999305555555558,Low
1,90,XD-3743,2016-02-19 18:32:38,2,Bug,Minor,To Do,1.0,0,0.0,82,Unknown,2.169525462962963,0,0,1,0,0,2,3.4999305555555558,Low
1,90,XD-3743,2016-02-19 18:32:51,3,Bug,Minor,To Do,1.0,0,0.0,88.0,Unknown,2.169675925925926,0,0,2,0,0,3,3.4999305555555558,Low
1,90,XD-3743,2016-02-19 19:22:14,4,Bug,Minor,In Progress,1.0,0,0.0,88.0,Unknown,2.2039699074074073,1,0,2,0,0,4,3.4999305555555558,Low
1,91,XD-3742,2016-02-17 05:23:02,1,Improvement,Minor,To Do,3.0,0,0.0,89.0,Unknown,0.5999537037037037,0,0,0,0,0,0,3.2119560185185185,Low
1,91,XD-3742,2016-02-17 16:57:55,2,Improvement,Minor,To Do,3.0,0,0.0,89.0,Unknown,1.082511574074074,0,0,0,0,0,1,3.2119560185185185,Low
1,91,XD-3742,2016-02-18 19:23:33,3,Improvement,Minor,In Progress,3.0,0,0.0,89.0,Unknown,2.1836458333333333,1,0,0,0,0,2,3.2119560185185185,Low
1,92,XD-3741,2016-02-13 19:10:36,1,Bug,Major,Done,1.0,0,0.0,Unknown,Unknown,0.0043055555555555555,0,0,0,0,0,0,7.308472222222222,Medium
1,93,XD-3740,2016-02-12 17:49:16,1,Bug,Minor,To Do,1.0,0,0.0,Unknown,Sprint 67,1.002337962962963,0,0,0,0,0,0,9.362824074074075,Medium
1,93,XD-3740,2016-02-13 19:10:03,2,Bug,Minor,To Do,1.0,0,0.0,91.0,Sprint 67,2.0584375,0,0,1,0,0,2,9.362824074074075,Medium
1,93,XD-3740,2016-02-15 08:17:38,3,Bug,Minor,To Do,1.0,0,0.0,91.0,Unknown,3.6053703703703706,0,0,1,0,0,3,9.362824074074075,Medium
1,93,XD-3740,2016-02-15 08:18:07,4,Bug,Minor,In Progress,1.0,0,0.0,91.0,Unknown,3.6057060185185184,1,0,1,0,0,4,9.362824074074075,Medium
1,94,XD-3739,2016-02-05 16:17:13,1,Bug,Major,To Do,5.0,0,0.0,Unknown,Unknown,0.010694444444444444,0,0,0,0,0,0,7.254918981481482,Medium
1,94,XD-3739,2016-02-05 16:25:43,2,Bug,Major,To Do,5.0,0,0.0,Unknown,Unknown,0.01659722222222222,0,0,0,0,0,1,7.254918981481482,Medium
1,94,XD-3739,2016-02-05 16:29:47,3,Bug,Major,To Do,5.0,0,0.0,82.0,Unknown,0.019421296296296298,0,0,1,0,0,2,7.254918981481482,Medium
1,94,XD-3739,2016-02-05 18:39:38,4,Bug,Major,In Progress,5.0,0,0.0,82.0,Unknown,0.1095949074074074,1,0,1,0,0,3,7.254918981481482,Medium
1,95,XD-3738,2016-02-08 18:34:25,1,Improvement,Minor,To Do,2.0,0,0.0,89.0,Sprint 67,5.371053240740741,0,0,0,0,0,0,13.2546875,Medium
1,95,XD-3738,2016-02-08 18:34:44,2,Improvement,Minor,In Progress,2.0,0,0.0,89.0,Sprint 67,5.371273148148148,1,0,0,0,0,1,13.2546875,Medium
1,95,XD-3738,2016-02-13 19:10:10,3,Improvement,Minor,Done,2.0,0,0.0,89.0,Sprint 67,10.39587962962963,2,0,0,0,0,2,13.2546875,Medium
1,96,XD-3737,2016-02-02 17:52:21,1,Bug,Minor,To Do,1.0,0,0.0,Unknown,Unknown,0.00011574074074074075,0,0,0,0,0,0,1.0857175925925926,Low
1,96,XD-3737,2016-02-02 17:52:37,2,Bug,Minor,To Do,1.0,0,0.0,93.0,Unknown,0.00030092592592592595,0,0,1,0,0,1,1.0857175925925926,Low
1,96,XD-3737,2016-02-02 17:57:51,3,Bug,Minor,In Progress,1.0,0,0.0,93.0,Unknown,0.003935185185185185,1,0,1,0,0,2,1.0857175925925926,Low
1,96,XD-3737,2016-02-02 20:17:03,4,Bug,Minor,In Progress,1.0,0,0.0,93.0,Unknown,0.10060185185185185,1,0,1,0,0,3,1.0857175925925926,Low
1,97,XD-3736,2016-02-01 19:26:27,1,Improvement,Minor,To Do,2.0,0,0.0,82.0,Unknown,0.017881944444444443,0,0,0,0,0,0,11.131018518518518,Medium
1,97,XD-3736,2016-02-01 20:31:09,2,Improvement,Minor,In Progress,2.0,0,0.0,82.0,Unknown,0.0628125,1,0,0,0,0,1,11.131018518518518,Medium
1,99,XD-3734,2016-01-15 20:02:00,1,Bug,Minor,To Do,1.0,0,0.0,Unknown,Unknown,0.004386574074074074,0,0,0,0,0,0,28.093310185185185,Medium
1,99,XD-3734,2016-01-15 20:26:13,2,Bug,Minor,To Do,1.0,0,0.0,82.0,Unknown,0.021203703703703704,0,0,1,0,0,1,28.093310185185185,Medium
1,99,XD-3734,2016-01-15 21:29:07,3,Bug,Minor,In Progress,1.0,0,0.0,82.0,Unknown,0.06488425925925925,1,0,1,0,0,3,28.093310185185185,Medium
