feature,importance
task_age_days,65.16745168057766
assignee,11.183818801123886
status,6.091594494498318
sprint,4.6385386900304795
priority,4.145907763790074
issue_type,4.054222822307874
changes_last_7_days,1.3456289937053278
status_change_count,1.2743412893110864
assignee_change_count,0.7298672983967899
story_points,0.588296991371911
estimate_change_count,0.3355812738312995
priority_change_count,0.26809020589931054
timespent,0.07575521977195367
story_point_change_count,0.05552043412558914
story_points_missing,0.04538404125872908
