feature,importance
task_age_days,31.131670279638406
assignee,13.384611109360215
priority,10.568332820565125
issue_type,9.141078268507757
status,6.608413750870707
days_since_last_priority_change,6.430316440715749
sprint,5.3135304614597105
days_since_last_sprint_change,2.7518976282632615
days_since_last_assignee_change,2.6609661691823487
distinct_status_count,2.0263313619932637
days_since_last_status_change,1.058025365009988
status_change_count,1.0234311974939896
recent_status_changes_7d,0.9963263768651869
distinct_assignee_count,0.9488006211287443
recent_assignee_changes_7d,0.7329601676809198
story_points,0.717216344478459
status_transition_count,0.6534005640128658
reassignment_count,0.5449053817472391
total_change_count,0.5404624923567591
changes_last_7_days,0.45100040727053603
recent_total_changes_7d,0.42300150056174624
distinct_sprint_count,0.38510224373650476
recent_sprint_changes_7d,0.27999439619049515
priority_change_count,0.2687536988464686
distinct_priority_count,0.21791820648512825
assignee_change_count,0.2054764244376422
recent_priority_changes_7d,0.1776885570302675
story_points_missing,0.14102081532128255
recent_timespent_changes_7d,0.13107398372752738
timespent,0.04625201859786805
story_point_change_count,0.04004094646389511
estimate_change_count,0.0
